Month,Age,ID,Customer_ID,Name,SSN,type_of_loan,Credit_History_Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
8,21,7959,5873714,Alice,254727117,Personal,< 1 Year,32766.31,6137.15,2,4,11.59,4,15,1,2010.93,3,3171.81,0.93,No,2267.11,1338.59,High_spent_Small_value_payments,6113.8,Standard
11,25,2658,1153083,Bob,358864528,Auto,< 1 Year,108837.47,8499.36,2,2,19.3,1,24,2,4615.93,2,1808.2,0.26,Yes,2975.02,1674.74,Low_spent_Small_value_payments,5632.89,Good
12,55,4536,9623364,Eve,726866729,Auto,2 Years,104090.45,6876.94,4,3,13.06,3,18,0,1199.22,2,7292.79,0.85,NM,4497.47,1546.13,Low_spent_Medium_value_payments,8993.43,Standard
8,26,3351,3206482,Charlie,301368091,Personal,1 Year,105485.18,4554.11,1,3,14.16,0,9,9,2025.37,4,13076.61,0.14,No,3027.23,1850.38,High_spent_Small_value_payments,9599.96,Good
8,37,4334,9161875,Charlie,332187022,Auto,< 1 Year,104260.43,6899.27,2,2,4.09,2,25,9,3823.67,3,10238.2,0.85,NM,1441.59,1593.6,High_spent_Medium_value_payments,5629.44,Good
5,56,9518,6827900,Eve,811836883,Home,< 1 Year,118508.07,9327.76,3,4,4.9,3,29,1,4371.46,3,4862.76,0.45,NM,2877.81,1576.98,High_spent_Small_value_payments,7282.99,Poor
10,46,2369,4800998,David,376633839,Education,2 Years,51765.56,9471.93,2,3,12.73,2,6,4,3734.24,0,4972.89,0.38,No,539.84,781.99,Low_spent_Medium_value_payments,5694.63,Standard
7,26,1278,8702821,David,769205727,Home,3 Years,47293.12,8772.12,1,1,19.33,2,4,7,714.28,3,2721.38,0.46,Yes,3604.73,1704.15,High_spent_Medium_value_payments,6323.39,Poor
2,23,1914,7288812,Eve,604590126,Education,1 Year,21531.94,6992.56,3,5,24.74,4,6,0,1456.07,0,10617.05,0.57,No,827.14,877.9,High_spent_Medium_value_payments,9568.34,Standard
4,57,7820,1531588,Charlie,589428024,Home,2 Years,78579.74,9894.51,1,2,10.63,3,3,6,3946.76,4,2531.96,0.79,NM,3663.96,122.69,High_spent_Small_value_payments,7056.25,Standard
1,44,4891,6827995,Bob,335317713,Education,2 Years,67474.07,6399.75,3,3,15.85,1,27,3,4299.5,4,850.15,0.38,Yes,1001.56,1112.96,High_spent_Large_value_payments,8507.14,Good
6,32,7988,1538601,David,214013785,Auto,3 Years,112402.37,3098.88,1,1,19.4,3,22,9,195.42,4,5063.22,0.29,NM,2554.68,730.3,Low_spent_Small_value_payments,6219.42,Poor
7,27,1883,1802900,Eve,882602759,Auto,3 Years,58581.65,6128.61,3,4,3.32,1,23,3,2580.07,4,5787.61,0.85,NM,3922.41,636.81,High_spent_Medium_value_payments,8811.81,Standard
3,48,3212,4067457,Bob,700348179,Auto,< 1 Year,107646.27,9507.13,2,3,14.67,2,18,3,4803.5,2,9108.19,0.98,No,4990.54,727.99,Low_spent_Large_value_payments,5292.69,Poor
